Feature,value_rfe
T96832,1966
T48041,1967
T51574,1968
T62220,1969
T61609,1970
M11799,1971
R02593_,1972
T63484,1973
H86060,1974
T95018,1975
H80240_,1976
T59954,1977
R22197,1978
J02763,1979
H79852,1980
T49423,1981
H09263,1982
T63508,1983
L28809,1984
T52342,1985
U14971,1986
H20709,1987
X63432,1988
H86060_,1989
T72863,1990
T55131,1991
T65938,1992
H80240,1993
T51496,1994
R02593,1995
U14973,1996
R85482,1997
R39465_,1998
R39465,1999
H55933,2000
