Feature,value_rfe
tqwt_entropy_shannon_dec_10,433
tqwt_minValue_dec_20,434
det_entropy_log_6_coef,435
det_LT_TKEO_std_4_coef,436
tqwt_maxValue_dec_28,437
tqwt_minValue_dec_30,438
det_entropy_shannon_6_coef,439
tqwt_entropy_log_dec_24,440
tqwt_TKEO_std_dec_34,441
tqwt_TKEO_mean_dec_22,442
tqwt_skewnessValue_dec_1,443
tqwt_entropy_log_dec_9,444
tqwt_medianValue_dec_9,445
det_entropy_shannon_2_coef,446
det_LT_entropy_shannon_8_coef,447
ddpJitter,448
tqwt_medianValue_dec_24,449
mean_Log_energy,450
tqwt_meanValue_dec_14,451
tqwt_entropy_shannon_dec_1,452
tqwt_energy_dec_28,453
tqwt_energy_dec_10,454
tqwt_skewnessValue_dec_30,455
tqwt_meanValue_dec_12,456
tqwt_minValue_dec_22,457
tqwt_skewnessValue_dec_21,458
mean_4th_delta_delta,459
tqwt_maxValue_dec_23,460
tqwt_medianValue_dec_2,461
std_2nd_delta,462
Ed2_1_coef,463
app_entropy_log_3_coef,464
tqwt_entropy_shannon_dec_5,465
tqwt_maxValue_dec_15,466
tqwt_kurtosisValue_dec_6,467
det_LT_entropy_shannon_9_coef,468
tqwt_medianValue_dec_32,469
tqwt_maxValue_dec_3,470
tqwt_minValue_dec_5,471
tqwt_entropy_log_dec_31,472
det_entropy_log_7_coef,473
tqwt_meanValue_dec_20,474
tqwt_entropy_shannon_dec_29,475
app_TKEO_std_4_coef,476
Ed_9_coef,477
tqwt_kurtosisValue_dec_31,478
det_LT_TKEO_mean_1_coef,479
tqwt_TKEO_mean_dec_20,480
tqwt_minValue_dec_25,481
tqwt_minValue_dec_31,482
tqwt_medianValue_dec_17,483
tqwt_kurtosisValue_dec_8,484
det_LT_entropy_shannon_5_coef,485
tqwt_TKEO_std_dec_27,486
tqwt_maxValue_dec_4,487
tqwt_TKEO_mean_dec_2,488
tqwt_entropy_log_dec_15,489
tqwt_skewnessValue_dec_17,490
tqwt_TKEO_std_dec_24,491
tqwt_stdValue_dec_25,492
tqwt_TKEO_mean_dec_30,493
tqwt_TKEO_mean_dec_9,494
tqwt_maxValue_dec_2,495
tqwt_energy_dec_34,496
tqwt_TKEO_std_dec_23,497
tqwt_maxValue_dec_1,498
tqwt_minValue_dec_2,499
tqwt_TKEO_mean_dec_31,500
std_0th_delta,501
det_LT_TKEO_mean_6_coef,502
det_LT_entropy_log_4_coef,503
locDbShimmer,504
tqwt_minValue_dec_14,505
tqwt_skewnessValue_dec_18,506
tqwt_kurtosisValue_dec_29,507
det_entropy_log_8_coef,508
det_entropy_log_2_coef,509
tqwt_entropy_shannon_dec_20,510
tqwt_entropy_shannon_dec_28,511
tqwt_skewnessValue_dec_32,512
app_LT_entropy_shannon_1_coef,513
tqwt_skewnessValue_dec_22,514
tqwt_meanValue_dec_35,515
tqwt_entropy_shannon_dec_8,516
tqwt_stdValue_dec_18,517
mean_3rd_delta_delta,518
IMF_NSR_entropy,519
tqwt_TKEO_mean_dec_15,520
tqwt_TKEO_std_dec_4,521
tqwt_entropy_shannon_dec_4,522
tqwt_TKEO_mean_dec_18,523
tqwt_entropy_shannon_dec_12,524
tqwt_skewnessValue_dec_15,525
tqwt_TKEO_mean_dec_16,526
tqwt_entropy_log_dec_2,527
tqwt_TKEO_std_dec_13,528
Ed_10_coef,529
tqwt_TKEO_std_dec_2,530
ddaShimmer,531
tqwt_TKEO_std_dec_1,532
Ed2_6_coef,533
tqwt_stdValue_dec_36,534
tqwt_TKEO_mean_dec_4,535
tqwt_TKEO_std_dec_9,536
det_LT_TKEO_mean_2_coef,537
tqwt_stdValue_dec_26,538
tqwt_maxValue_dec_19,539
