Feature,rank_mi,rank_SHAP,rank_embed,value_min,value_med,value_mean,value_harmo
det_LT_TKEO_std_6_coef,516,317,30,30,317.0,287.6666666666667,78.07235816336272
Ed_3_coef,517,458,454,454,458.0,476.3333333333333,474.6621197581524
tqwt_maxValue_dec_29,518,555,576,518,555.0,549.6666666666666,548.605050257416
tqwt_stdValue_dec_3,519,705,739,519,705.0,654.3333333333334,638.5149724778441
tqwt_TKEO_std_dec_35,520,737,672,520,672.0,643.0,629.1914289250976
tqwt_minValue_dec_25,521,459,449,449,459.0,476.3333333333333,474.2928136121291
det_entropy_shannon_3_coef,522,611,536,522,536.0,556.3333333333334,553.7055979616293
tqwt_skewnessValue_dec_33,523,100,278,100,278.0,300.3333333333333,193.4339716356089
mean_8th_delta,524,253,261,253,261.0,346.0,309.5213809266808
mean_4th_delta_delta,525,469,482,469,482.0,492.0,490.8660573832984
std_1st_delta,526,216,164,164,216.0,302.0,237.56107843470573
tqwt_maxValue_dec_32,527,556,604,527,556.0,562.3333333333334,560.567077445457
tqwt_entropy_shannon_dec_28,528,424,486,424,486.0,479.3333333333333,475.4325665944208
gender,529,753,753,529,753.0,678.3333333333334,659.8625069022639
tqwt_entropy_log_dec_29,530,230,113,113,230.0,291.0,198.8839156800462
det_TKEO_mean_2_coef,531,369,61,61,369.0,320.3333333333333,142.9476158013706
tqwt_maxValue_dec_24,532,159,406,159,406.0,365.6666666666667,282.16540776810706
tqwt_medianValue_dec_29,533,515,461,461,515.0,503.0,501.0758451102989
tqwt_minValue_dec_5,534,425,369,369,425.0,442.6666666666667,432.54918468857016
tqwt_entropy_shannon_dec_22,535,480,404,404,480.0,473.0,466.72704915574485
tqwt_TKEO_std_dec_27,536,380,493,380,493.0,469.6666666666667,459.7244486225484
tqwt_energy_dec_18,537,138,117,117,138.0,264.0,169.91792580398612
tqwt_minValue_dec_31,538,415,474,415,474.0,475.6666666666667,470.36104131604515
det_TKEO_std_8_coef,539,338,226,226,338.0,367.6666666666667,324.7229010683941
det_LT_entropy_shannon_2_coef,540,600,668,540,600.0,602.6666666666666,598.1428255582576
tqwt_skewnessValue_dec_19,541,523,463,463,523.0,509.0,506.73091190407115
tqwt_stdValue_dec_23,542,539,696,539,542.0,592.3333333333334,583.9884807671318
mean_MFCC_9th_coef,543,156,408,156,408.0,369.0,280.2989781021898
VFER_std,544,351,361,351,361.0,418.6666666666667,402.28922708199184
std_1st_delta_delta,545,177,48,48,177.0,256.6666666666667,105.94000960944472
tqwt_entropy_shannon_dec_24,546,377,400,377,400.0,441.0,429.55192838088345
tqwt_maxValue_dec_25,547,545,548,545,547.0,546.6666666666666,546.6638186521157
tqwt_TKEO_std_dec_28,548,742,665,548,665.0,651.6666666666666,641.5347822717258
tqwt_minValue_dec_27,549,584,561,549,561.0,564.6666666666666,564.2965523948761
det_LT_entropy_log_4_coef,550,422,517,422,517.0,496.3333333333333,490.0290488739818
tqwt_maxValue_dec_26,551,254,28,28,254.0,277.6666666666667,72.34812362302608
std_MFCC_6th_coef,552,381,324,324,381.0,419.0,398.7937355151345
tqwt_medianValue_dec_14,553,279,104,104,279.0,312.0,199.89429229906776
det_LT_TKEO_mean_8_coef,554,631,653,554,631.0,612.6666666666666,609.6032291862318
mean_12th_delta_delta,555,99,286,99,286.0,313.3333333333333,194.81385517523523
tqwt_energy_dec_7,556,54,299,54,299.0,303.0,126.78791416761608
tqwt_maxValue_dec_27,557,140,38,38,140.0,245.0,85.09677789902935
